date,maxtemp_c,maxtemp_f,mintemp_c,mintemp_f,avgtemp_c,avgtemp_f,maxwind_mph,maxwind_kph,totalprecip_mm,totalprecip_in,totalsnow_cm,avgvis_km,avgvis_miles,avghumidity,daily_will_it_rain,daily_chance_of_rain,daily_will_it_snow,daily_chance_of_snow,condition,uv
2025-09-28,17.6,63.7,8.9,48.0,13.2,55.7,7.8,12.6,1.9,0.07,0.0,8.0,4.0,77,1,100,0,0,Patchy rain possible,2.4
2025-09-27,14.7,58.5,9.7,49.5,12.4,54.3,12.3,19.8,1.3,0.05,0.0,9.7,6.0,85,1,100,0,0,Patchy rain possible,0.6
2025-09-26,15.7,60.3,5.4,41.7,10.5,51.0,8.5,13.7,0.0,0.0,0.0,10.0,6.0,74,0,0,0,0,Patchy rain possible,2.6
2025-09-25,17.4,63.3,6.3,43.3,11.2,52.2,12.8,20.5,0.0,0.0,0.0,10.0,6.0,66,0,0,0,0,Partly cloudy,2.6
2025-09-24,17.2,63.0,7.1,44.8,11.8,53.2,12.1,19.4,0.0,0.0,0.0,10.0,6.0,69,0,0,0,0,Overcast,2.8
2025-09-23,15.3,59.5,5.3,41.5,9.9,49.8,7.8,12.6,0.0,0.0,0.0,10.0,6.0,68,0,0,0,0,Partly cloudy,2.9
2025-09-22,14.3,57.7,4.5,40.1,8.9,48.1,14.8,23.8,0.0,0.0,0.0,10.0,6.0,65,0,0,0,0,Partly cloudy,2.9
2025-09-21,12.0,53.6,7.7,45.9,9.7,49.5,16.3,26.3,0.9,0.04,0.0,9.7,6.0,80,1,100,0,0,Light drizzle,1.2
2025-09-20,16.9,62.4,9.6,49.3,13.4,56.2,19.5,31.3,4.5,0.18,0.0,6.2,3.0,93,1,100,0,0,Light rain shower,1.7
2025-09-19,20.9,69.6,13.2,55.8,16.3,61.4,13.2,21.2,0.0,0.0,0.0,7.8,4.0,84,0,0,0,0,Mist,3.3
2025-09-18,20.7,69.3,14.5,58.1,17.5,63.5,17.9,28.8,0.0,0.0,0.0,8.3,5.0,86,0,0,0,0,Patchy rain possible,2.1
2025-09-17,18.8,65.8,12.9,55.2,16.3,61.3,19.5,31.3,0.9,0.04,0.0,9.7,6.0,89,1,100,0,0,Overcast,0.6
2025-09-16,17.8,64.0,11.0,51.8,13.9,57.1,19.2,31.0,0.5,0.02,0.0,9.7,6.0,74,1,100,0,0,Patchy rain possible,2.0
2025-09-15,16.8,62.2,12.9,55.2,14.4,58.0,27.3,43.9,0.6,0.02,0.0,9.6,5.0,74,1,100,0,0,Light drizzle,2.5
2025-09-14,17.4,63.3,8.8,47.8,13.5,56.3,25.7,41.4,4.3,0.17,0.0,8.2,5.0,90,1,100,0,0,Light rain shower,2.0
